SIC Code,NAICS Code
111,111140
112,111160
115,111150
116,111110
119,111120
119,111130
119,111150
119,111191
119,111199
131,111920
132,111910
133,111930
133,111991
134,111211
139,111219
139,111340
139,111992
161,111211
171,111333
171,111334
172,111332
173,111335
174,111310
174,111320
175,111331
175,111339
179,111336
179,111339
181,111421
181,111422
182,111411
182,111419
191,111998
211,112112
212,112111
213,112210
214,112410
214,112420
241,112111
241,112120
251,112320
252,112310
253,112330
254,112340
259,112390
271,112930
272,112920
273,112511
273,112512
279,112519
291,112990
831,111998
811,113110
831,113210
971,114210
721,115112
722,115113
723,115114
724,115111
751,115210
752,115210
761,115115
762,115116
851,115310
1081,213114
1081,238910
1094,212290
1099,212290
1111,921110
1112,921120
1113,921130
1116,922140
1122,922160
1141,921140
1155,337110
1159,337121
1161,337126
1162,339940
1163,339940
1164,339940
1166,339940
1169,339910
1191,923120
1199,813990
1211,923110
1221,926140
1231,924110
1232,924120
1241,813910
1242,926120
1244,812220
1249,924110
1251,813920
1253,813312
1254,813312
1255,813312
1256,813990
1261,814110
1281,425120
1289,425120
1299,425120
1311,813910
1311,814110
1312,813990
1313,925110
1314,925120
1316,926130
1321,921190
1322,921150
1323,813910
1329,425120
1331,425120
1332,425120
1339,425120
1342,425120
1343,425120
1345,425120
1346,425120
1347,425120
1349,425120
1351,425120
1352,425120
1353,425120
1354,425120
1355,425120
1356,425120
1357,425120
1358,425120
1364,425120
1366,425120
1369,425120
1371,425120
1372,425120
1373,425120
1377,425120
1383,425120
1384,425120
1385,425120
1386,425120
1387,425120
1388,425120
1389,425120
1393,425120
1394,425120
1395,425120
1396,425120
1399,441227
1399,442299
1399,444180
1399,446199
1399,451110
1399,453998
1399,512199
1399,524128
1399,524299
1399,541613
1399,541620
1399,541690
1399,541890
1399,541990
1399,561920
1399,561990
1399,562910
1399,562990
1399,611310
1399,611699
1399,711219
1399,711310
1399,711320
1399,713990
1399,722410
1399,722515
1399,813312
1399,813910
1399,922190
1399,926150
1399,926150
1399,928120
1411,212311
1411,921140
1412,811430
1422,212312
1423,212313
1424,512132
1429,212319
1433,522220
1439,522293
1441,541820
1442,541850
1443,541850
1444,541860
1451,922160
1452,922120
1454,236220
1455,445240
1459,522294
1466,561612
1474,523210
1475,531311
1481,337127
1481,339940
1481,713910
1482,713120
1483,561599
1499,332439
1499,332999
1499,713990
1499,811310
1511,713940
1521,236220
1522,236116
1522,425120
1531,236117
1531,236210
1531,236220
1533,523910
1534,523910
1539,561312
1541,531110
1541,531120
1542,236220
1542,531120
1548,458210
1551,458110
1552,484220
1553,541611
1554,458110
1555,458110
1556,458110
1557,458110
1558,458110
1559,458110
1560,458110
1561,458110
1562,458110
1563,458110
1564,458110
1565,458110
1566,458110
1567,458110
1568,458110
1569,458210
1570,458210
1574,458310
1575,458310
1578,458320
1579,458320
1580,458320
1583,459110
1584,459110
1585,459110
1586,459110
1587,459120
1588,459120
1589,459120
1590,459120
1592,459130
1593,459130
1594,459130
1595,459130
1596,459130
1597,459140
1598,459140
1599,459140
1600,459210
1601,459210
1602,459210
1603,459210
1604,459210
1605,459310
1606,459310
1607,459310
1608,459410
1609,459410
1610,459410
1611,459410
1612,459410
1613,459410
1614,459410
1615,459420
1616,459420
1617,459420
1618,459420
1619,459510
1620,459510
1621,459510
1622,459910
1623,459910
1624,459910
1625,459910
1626,459910
1627,459920
1628,459920
1629,459920
1630,459930
1631,459991
1632,459991
1633,459991
1634,459991
1635,459991
1636,459999
1637,459999
1638,459999
1639,459999
1640,459999
1641,459999
1642,481111
1643,481112
1644,481211
1645,481212
1646,481219
1648,481219
1649,481219
1650,482111
1651,482112
1652,483111
1653,483112
1654,483113
1655,483113
1656,483114
1657,483114
1658,483211
1659,483211
1660,483212
1661,483212
1662,484110
1663,484110
1664,484121
1665,484122
1666,484210
1667,484210
1668,484210
1669,484220
1670,484220
1671,484230
1672,485111
1673,485112
1674,485113
1675,485119
1676,485210
1677,485310
1678,485310
1679,485320
1680,485410
1681,485410
1682,485510
1683,485510
1684,485991
1685,485999
1686,485999
1687,486110
1688,486210
1689,486210
1690,486910
1691,486990
1692,487110
1693,487110
1694,487110
1695,487210
1696,487210
1697,487990
1698,487990
1699,488111
1700,488111
1701,488119
1702,488119
1703,488119
1704,488190
1705,488210
1706,488210
1707,488210
1708,488310
1709,488310
1710,488320
1711,488330
1712,488330
1713,488390
1714,488390
1715,488390
1716,488390
1717,488410
1718,488490
1719,488490
1720,488490
1721,488490
1722,488490
1723,488510
1724,488991
1725,488999
1726,488999
1727,491110
1728,491110
1729,492110
1730,492110
1731,492210
1732,493110
1733,493110
1734,493120
1735,493120
1736,493130
1737,493190
1738,512110
1739,512120
1740,512120
1741,512131
1742,512132
1743,512191
1744,512199
1745,512199
1746,512230
1747,512230
1748,512230
1749,512240
1750,512250
1751,512250
1752,512290
1753,512290
1754,513110
1755,513110
1756,513120
1757,513120
1758,513120
1759,513130
1760,513130
1761,513130
1762,513140
1763,513140
1764,513191
1765,513199
1766,513199
1767,513199
1768,513210
1769,516110
1770,516120
1771,516210
1772,516210
1773,516210
1774,517111
1775,517111
1776,517111
1777,517111
1778,517112
1779,517112
1780,517121
1781,517121
1782,517122
1783,517122
1784,517122
1785,517122
1786,517410
1787,517810
1788,517810
1789,518210
1790,518210
1791,518210
1792,519210
1793,519210
1794,519290
1795,521110
1796,522110
1797,522110
1798,522110
1799,522110
1800,522130
1801,522130
1802,522180
1803,522180
1804,522180
1805,522210
1806,522210
1807,522210
1808,522210
1809,522220
1810,522220
1811,522220
1812,522291
1813,522292
1814,522292
1815,522292
1816,522299
1817,522299
1818,522299
1819,522299
1820,522299
1821,522299
1822,522299
1823,522299
1824,522299
1825,522299
1826,522299
1827,522299
1828,522299
1829,522299
1830,522310
1831,522320
1832,522320
1833,522320
1834,522390
1835,522390
1836,523150
1837,523150
1838,523160
1839,523160
1840,523160
1841,523160
1842,523210
1843,523910
1844,523910
1845,523910
1846,523910
1847,523940
1848,523940
1849,523940
1850,523940
1851,523940
1852,523991
1853,523991
1854,523991
1855,523991
1856,523999
1857,523999
1858,524113
1859,524113
1860,524114
1861,524114
1862,524126
1863,524126
1864,524127
1865,524128
1866,524128
1867,524128
1868,524128
1869,524130
1870,524130
1871,524130
1872,524130
1873,524130
1874,524130
1875,524210
1876,524291
1877,524292
1878,524292
1879,524298
1880,525110
1881,525120
1882,525190
1883,525190
1884,525190
1885,525190
1886,525910
1887,525920
1888,525990
1889,525990
1890,525990
1891,531110
1892,531110
1893,531110
1894,531110
1895,531120
1896,531120
1897,531130
1898,531130
1899,531190
1900,531190
1901,531190
1902,531190
1903,531210
1904,531311
1905,531312
1906,531320
1907,531390
1908,532111
1909,532112
1910,532120
1911,532120
1912,532210
1913,532281
1914,532281
1915,532282
1916,532283
1917,532284
1918,532289
1919,532310
1920,532411
1921,532411
1922,532411
1923,532412
1924,532412
1925,532420
1926,532420
1927,532490
1928,532490
1929,532490
1930,532490
1931,533110
1932,533110
1933,541110
1934,541120
1935,541191
1936,541199
1937,541211
1938,541213
1939,541214
1940,541214
1941,541219
1942,541310
1943,541320
1944,541320
1945,541330
1946,541330
1947,541340
1948,541350
1949,541360
1950,541360
1951,541360
1952,541360
1953,541370
1954,541370
1955,541380
1956,541410
1957,541420
1958,541430
1959,541430
1960,541490
1961,541511
1962,541512
1963,541512
1964,541513
1965,541519
1966,541611
1967,541612
1968,541612
1969,541612
1970,541613
1971,541614
1972,541614
1973,541618
1974,541620
1975,541690
1976,541690
1977,541690
1978,541690
1979,541713
1980,541713
1981,541713
1982,541713
1983,541713
1984,541713
1985,541713
1986,541713
1987,541714
1988,541714
1989,541715
1990,541715
1991,541720
1992,541720
1993,541810
1994,541820
1995,541830
1996,541840
1997,541850
1998,541850
1999,541860
2000,541870
2001,541870
2002,541890
2003,541890
2004,541890
2005,541910
2006,541921
2007,541922
2008,541922
2009,541930
2010,541940
2011,541940
2012,541940
2013,541990
2014,541990
2015,541990
2016,541990
2017,551111
2018,551112
2019,551114
2020,561110
2021,561210
2022,561311
2023,561311
2024,561311
2025,561311
2026,561312
2027,561312
2028,561312
2029,561320
2030,561330
2031,561410
2032,561410
2033,561421
2034,561422
2035,561439
2036,561439
2037,561439
2038,561440
2039,561440
2040,561450
2041,561491
2042,561492
2043,561499
2044,561510
2045,561520
2046,561591
2047,561599
2048,561599
2049,561599
2050,561599
2051,561599
2052,561611
2053,561612
2054,561613
2055,561613
2056,561621
2057,561622
2058,561710
2059,561710
2060,561720
2061,561720
2062,561720
2063,561730
2064,561730
2065,561740
2066,561790
2067,561790
2068,561790
2069,561790
2070,561790
2071,561910
2072,561920
2073,561990
2074,562111
2075,562112
2076,562119
2077,562211
2078,562212
2079,562213
2080,562219
2081,562910
2082,562910
2083,562920
2084,562991
2085,562991
2086,562998
2087,562998
2088,611110
2089,611210
2090,611310
2091,611410
2092,611420
2093,611430
2094,611511
2095,611511
2096,611512
2097,611512
2098,611513
2099,611519
2100,611519
2101,611519
2102,611610
2103,611610
2104,611620
2105,611620
2106,611630
2107,611691
2108,611692
2109,611699
2110,611699
2111,611710
2112,611710
2113,621111
2114,621111
2115,621112
2116,621112
2117,621210
2118,621310
2119,621320
2120,621330
2121,621340
2122,621391
2123,621399
2124,621399
2125,621410
2126,621410
2127,621420
2128,621491
2129,621492
2130,621493
2131,621498
2132,621511
2133,621512
2134,621610
2135,621910
2136,621910
2137,621991
2138,621999
2139,621999
2140,622110
2141,622110
2142,622210
2143,622210
2144,622310
2145,623110
2146,623110
2147,623110
2148,623210
2149,623210
2150,623210
2151,623210
2152,623220
2153,623311
2154,623311
2155,623311
2156,623312
2157,623990
2158,624110
2159,624120
2160,624190
2161,624210
2162,624221
2163,624229
2164,624230
2165,624310
2166,624410
2167,711110
2168,711110
2169,711120
2170,711130
2171,711190
2172,711190
2173,711211
2174,711212
2175,711219
2176,711219
2177,711310
2178,711310
2179,711310
2180,711310
2181,711320
2182,711320
2183,711320
2184,711320
2185,711410
2186,711410
2187,711410
2188,711510
2189,711510
2190,711510
2191,711510
2192,711510
2193,711510
2194,712110
2195,712120
2196,712130
2197,712190
2198,712190
2199,713110
2200,713120
2201,713210
2202,713290
2203,713290
2204,713910
2205,713910
2206,713920
2207,713930
2208,713940
2209,713940
2210,713940
2211,713950
2212,713990
2213,713990
2214,713990
2215,713990
2216,721110
2217,721110
2218,721120
2219,721191
2220,721199
2221,721211
2222,721214
2223,721310
2224,721310
2225,722310
2226,722310
2227,722320
2228,722330
2229,722410
2230,722511
2231,722513
2232,722514
2233,722515
2234,722515
2235,811111
2236,811114
2237,811114
2238,811114
2239,811121
2240,811122
2241,811122
2242,811191
2243,811192
2244,811198
2245,811198
2246,811198
2247,811210
2248,811210
2249,811210
2250,811210
2251,811210
2252,811210
2253,811210
2254,811210
2255,811210
2256,811210
2257,811310
2258,811310
2259,811310
2260,811310
2261,811411
2262,811412
2263,811412
2264,811412
2265,811420
2266,811420
2267,811430
2268,811430
2269,811490
2270,811490
2271,811490
2272,811490
2273,812111
2274,812112
2275,812113
2276,812191
2277,812199
2278,812210
2279,812220
2280,812220
2281,812220
2282,812310
2283,812320
2284,812320
2285,812320
2286,812320
2287,812320
2288,812320
2289,812331
2290,812331
2291,812332
2292,812910
2293,812921
2294,812922
2295,812930
2296,812930
2297,812990
2298,812990
2299,812990
2300,812990
2301,812990
2302,813110
2303,813211
2304,813212
2305,813219
2306,813311
2307,813312
2308,813312
2309,813319
2310,813319
2311,813410
2312,813410
2313,813910
2314,813910
2315,813920
2316,813930
2317,813940
2318,813990
2319,813990
2320,813990
2321,814110
2322,921110
2323,921120
2324,921130
2325,921140
2326,921150
2327,921190
2328,922110
2329,922120
2330,922130
2331,922140
2332,922150
2333,922160
2334,922190
2335,923110
2336,923120
2337,923130
2338,923140
2339,924110
2340,924120
2341,925110
2342,925120
2343,926110
2344,926120
2345,926130
2346,926140
2347,926150
2348,927110
2349,928110
2350,928120
